osm_id;ort;plz;landkreis;bundesland
1104550;Aach;78267;Landkreis Konstanz;Baden-Württemberg
1255910;Aach;54298;Landkreis Trier-Saarburg;Rheinland-Pfalz
62564;Aachen;52062;Städteregion Aachen;Nordrhein-Westfalen
62564;Aachen;52064;Städteregion Aachen;Nordrhein-Westfalen
62564;Aachen;52066;Städteregion Aachen;Nordrhein-Westfalen
62564;Aachen;52068;Städteregion Aachen;Nordrhein-Westfalen
62564;Aachen;52070;Städteregion Aachen;Nordrhein-Westfalen
62564;Aachen;52072;Städteregion Aachen;Nordrhein-Westfalen
62564;Aachen;52074;Städteregion Aachen;Nordrhein-Westfalen
62564;Aachen;52076;Städteregion Aachen;Nordrhein-Westfalen
62564;Aachen;52078;Städteregion Aachen;Nordrhein-Westfalen
62564;Aachen;52080;Städteregion Aachen;Nordrhein-Westfalen
915486;Aalen;73430;Ostalbkreis;Baden-Württemberg
915486;Aalen;73431;Ostalbkreis;Baden-Württemberg
915486;Aalen;73432;Ostalbkreis;Baden-Württemberg
915486;Aalen;73433;Ostalbkreis;Baden-Württemberg
915486;Aalen;73434;Ostalbkreis;Baden-Württemberg
413109;Aarbergen;65326;Rheingau-Taunus-Kreis;Hessen
448770;Aasbüttel;25560;Kreis Steinburg;Schleswig-Holstein
158409;Abenberg;91183;Landkreis Roth;Bayern
956651;Abensberg;93326;Landkreis Kelheim;Bayern
1244276;Abentheuer;55767;Landkreis Birkenfeld;Rheinland-Pfalz
1015097;Absberg;91720;Landkreis Weißenburg-Gunzenhausen;Bayern
410485;Abstatt;74232;Landkreis Heilbronn;Baden-Württemberg
2389084;Abtsbessingen;99713;Kyffhäuserkreis;Thüringen
915445;Abtsgmünd;73453;Ostalbkreis;Baden-Württemberg
537061;Abtsteinach;69518;Kreis Bergstraße;Hessen
283691;Abtswind;97355;Landkreis Kitzingen;Bayern
1244067;Abtweiler;55568;Landkreis Bad Kreuznach;Rheinland-Pfalz
2806596;Achberg;88147;Landkreis Ravensburg;Baden-Württemberg
452972;Achern;77855;Ortenaukreis;Baden-Württemberg
1182036;Achim;28832;Landkreis Verden;Niedersachsen
959175;Achslach;94250;Landkreis Regen;Bayern
2801019;Achstetten;88480;Landkreis Biberach;Baden-Württemberg
548033;Acht;56729;Landkreis Mayen-Koblenz;Rheinland-Pfalz
1246405;Achtelsbach;55767;Landkreis Birkenfeld;Rheinland-Pfalz
548502;Achterwehr;24239;Kreis Rendsburg-Eckernförde;Schleswig-Holstein
1417214;Achtrup;25917;Kreis Nordfriesland;Schleswig-Holstein
2825844;Adelberg;73099;Landkreis Göppingen;Baden-Württemberg
1399100;Adelebsen;37139;Landkreis Göttingen;Niedersachsen
1796300;Adelheidsdorf;29352;Landkreis Celle;Niedersachsen
915446;Adelmannsfelden;73486;Ostalbkreis;Baden-Württemberg
943553;Adelschlag;85111;Landkreis Eichstätt;Bayern
1016518;Adelsdorf;91325;Landkreis Erlangen-Höchstadt;Bayern
403733;Adelsheim;74740;Neckar-Odenwald-Kreis;Baden-Württemberg
534077;Adelshofen;91587;Landkreis Ansbach;Bayern
933549;Adelshofen;82276;Landkreis Fürstenfeldbruck;Bayern
452562;Adelsried;86477;Landkreis Augsburg;Bayern
163655;Adelzhausen;86559;Landkreis Aichach-Friedberg;Bayern
1060416;Adenau;53518;Landkreis Ahrweiler;Rheinland-Pfalz
1246784;Adenbach;67742;Landkreis Kusel;Rheinland-Pfalz
1363679;Adenbüttel;38528;Landkreis Gifhorn;Niedersachsen
1392133;Adendorf;21365;Landkreis Lüneburg;Niedersachsen
191347;Adlkofen;84166;Landkreis Landshut;Bayern
391131;Admannshagen-Bargeshagen;18211;Landkreis Rostock;Mecklenburg-Vorpommern
443610;Adorf/Vogtland;08626;Vogtlandkreis;Sachsen
448016;Aebtissinwisch;25572;Kreis Steinburg;Schleswig-Holstein
1169356;Aerzen;31855;Landkreis Hameln-Pyrmont;Niedersachsen
405290;Affalterbach;71563;Landkreis Ludwigsburg;Baden-Württemberg
393482;Affing;86444;Landkreis Aichach-Friedberg;Bayern
1992924;Affinghausen;27257;Landkreis Diepholz;Niedersachsen
1171872;Affler;54689;Eifelkreis Bitburg-Prüm;Rheinland-Pfalz
445842;Agathenburg;21684;Landkreis Stade;Niedersachsen
448765;Agethorst;25560;Kreis Steinburg;Schleswig-Holstein
403747;Aglasterhausen;74858;Neckar-Odenwald-Kreis;Baden-Württemberg
191355;Aham;84168;Landkreis Landshut;Bayern
162877;Ahaus;48683;Kreis Borken;Nordrhein-Westfalen
965596;Ahausen;27367;Landkreis Rotenburg (Wümme);Niedersachsen
1408072;Ahlbeck;17375;Landkreis Vorpommern-Greifswald;Mecklenburg-Vorpommern
1808860;Ahlden;29693;Landkreis Heidekreis;Niedersachsen
548612;Ahlefeld-Bistensee;24358;Kreis Rendsburg-Eckernförde;Schleswig-Holstein
152285;Ahlen;59227;Kreis Warendorf;Nordrhein-Westfalen
152285;Ahlen;59229;Kreis Warendorf;Nordrhein-Westfalen
446435;Ahlerstedt;21702;Landkreis Stade;Niedersachsen
2409456;Ahlsdorf;06313;Landkreis Mansfeld-Südharz;Sachsen-Anhalt
1273264;Ahlstädt;98553;Landkreis Hildburghausen;Thüringen
530915;Ahnatal;34292;Landkreis Kassel;Hessen
1145086;Ahneby;24996;Kreis Schleswig-Flensburg;Schleswig-Holstein
1797682;Ahnsbeck;29353;Landkreis Celle;Niedersachsen
1169362;Ahnsen;31708;Landkreis Schaumburg;Niedersachsen
959667;Aholfing;94345;Landkreis Straubing-Bogen;Bayern
959803;Aholming;94527;Landkreis Deggendorf;Bayern
401808;Ahorn;74744;Main-Tauber-Kreis;Baden-Württemberg
956872;Ahorn;96482;Landkreis Coburg;Bayern
1071012;Ahorntal;95491;Landkreis Bayreuth;Bayern
1021829;Ahrbrück;53506;Landkreis Ahrweiler;Rheinland-Pfalz
382442;Ahrensbök;23623;Kreis Ostholstein;Schleswig-Holstein
453746;Ahrensburg;22926;Kreis Stormarn;Schleswig-Holstein
1318349;Ahrensfelde;16356;Landkreis Barnim;Brandenburg
374204;Ahrenshagen-Daskow;18320;Landkreis Vorpommern-Rügen;Mecklenburg-Vorpommern
1406816;Ahrenshöft;25853;Kreis Nordfriesland;Schleswig-Holstein
374244;Ahrenshoop;18347;Landkreis Vorpommern-Rügen;Mecklenburg-Vorpommern
1406979;Ahrenviöl;25885;Kreis Nordfriesland;Schleswig-Holstein
1406977;Ahrenviölfeld;24896;Kreis Nordfriesland;Schleswig-Holstein
1406977;Ahrenviölfeld;25885;Kreis Nordfriesland;Schleswig-Holstein
161897;Aichach;86551;Landkreis Aichach-Friedberg;Bayern
958122;Aicha vorm Wald;94529;Landkreis Passau;Bayern
2792688;Aichelberg;73101;Landkreis Göppingen;Baden-Württemberg
935172;Aichen;86479;Landkreis Günzburg;Bayern
943754;Aichhalden;78733;Landkreis Rottweil;Baden-Württemberg
2806735;Aichstetten;88317;Landkreis Ravensburg;Baden-Württemberg
2796466;Aichtal;72631;Landkreis Esslingen;Baden-Württemberg
2792901;Aichwald;73773;Landkreis Esslingen;Baden-Württemberg
958099;Aidenbach;94501;Landkreis Passau;Bayern
388769;Aidhausen;97491;Landkreis Haßberge;Bayern
722153;Aidlingen;71134;Landkreis Böblingen;Baden-Württemberg
956660;Aiglsbach;84089;Landkreis Kelheim;Bayern
535001;Ailertchen;56459;Westerwaldkreis;Rheinland-Pfalz
162453;Aindling;86447;Landkreis Aichach-Friedberg;Bayern
941761;Ainring;83404;Landkreis Berchtesgadener Land;Bayern
956819;Aislingen;89344;Landkreis Dillingen an der Donau;Bayern
959661;Aiterhofen;94330;Landkreis Straubing-Bogen;Bayern
1244183;Aitern;79677;Landkreis Lörrach;Baden-Württemberg
2806736;Aitrach;88319;Landkreis Ravensburg;Baden-Württemberg
447974;Aitrang;87648;Landkreis Ostallgäu;Bayern
1329407;Aken (Elbe);06385;Landkreis Anhalt-Bitterfeld;Sachsen-Anhalt
1329407;Aken (Elbe);06386;Landkreis Anhalt-Bitterfeld;Sachsen-Anhalt
1284770;Aland;39615;Landkreis Stendal;Sachsen-Anhalt
2186953;Albaching;83544;Landkreis Rosenheim;Bayern
2786234;Albbruck;79774;Landkreis Waldshut;Baden-Württemberg
423032;Albersdorf;25767;Kreis Dithmarschen;Schleswig-Holstein
2778355;Albersdorf;07646;Saale-Holzland-Kreis;Thüringen
2792707;Albershausen;73095;Landkreis Göppingen;Baden-Württemberg
1252774;Albersweiler;76857;Landkreis Südliche Weinstraße;Rheinland-Pfalz
283563;Albertshofen;97320;Landkreis Kitzingen;Bayern
1246578;Albessen;66871;Landkreis Kusel;Rheinland-Pfalz
1248583;Albig;55234;Landkreis Alzey-Worms;Rheinland-Pfalz
1254398;Albisheim (Pfrimm);67308;Donnersbergkreis;Rheinland-Pfalz
1471102;Albsfelde;23909;Kreis Herzogtum Lauenburg;Schleswig-Holstein
2779017;Albstadt;72458;Zollernalbkreis;Baden-Württemberg
2779017;Albstadt;72459;Zollernalbkreis;Baden-Württemberg
2779017;Albstadt;72461;Zollernalbkreis;Baden-Württemberg
158407;Aldenhoven;52457;Kreis Düren;Nordrhein-Westfalen
958104;Aldersbach;94501;Landkreis Passau;Bayern
1231975;Aldingen;78554;Landkreis Tuttlingen;Baden-Württemberg
962467;Alerheim;86733;Landkreis Donau-Ries;Bayern
1015138;Alesheim;91793;Landkreis Weißenburg-Gunzenhausen;Bayern
568238;Aletshausen;86480;Landkreis Günzburg;Bayern
1269727;Alf;56859;Landkreis Cochem-Zell;Rheinland-Pfalz
401623;Alfdorf;73553;Rems-Murr-Kreis;Baden-Württemberg
401623;Alfdorf;73655;Rems-Murr-Kreis;Baden-Württemberg
966167;Alfeld;91236;Landkreis Nürnberger Land;Bayern
1168905;Alfeld (Leine);31061;Landkreis Hildesheim;Niedersachsen
1821138;Alfhausen;49594;Landkreis Osnabrück;Niedersachsen
1269816;Alflen;56828;Landkreis Cochem-Zell;Rheinland-Pfalz
1079020;Alfstedt;27432;Landkreis Rotenburg (Wümme);Niedersachsen
172095;Alfter;53347;Rhein-Sieg-Kreis;Nordrhein-Westfalen
91859;Algermissen;31191;Landkreis Hildesheim;Niedersachsen
238961;Alheim;36211;Landkreis Hersfeld-Rotenburg;Hessen
546611;Alken;56332;Landkreis Mayen-Koblenz;Rheinland-Pfalz
396563;Alkersleben;99310;Ilm-Kreis;Thüringen
1428588;Alkersum;25938;Kreis Nordfriesland;Schleswig-Holstein
1245131;Allenbach;55758;Landkreis Birkenfeld;Rheinland-Pfalz
443591;Allendorf;35108;Landkreis Waldeck-Frankenberg;Hessen
539713;Allendorf;56370;Rhein-Lahn-Kreis;Rheinland-Pfalz
1273287;Allendorf;07426;Landkreis Saalfeld-Rudolstadt;Thüringen
418611;Allendorf (Lumda);35469;Landkreis Gießen;Hessen
1244219;Allenfeld;55595;Landkreis Bad Kreuznach;Rheinland-Pfalz
2784841;Allensbach;78476;Landkreis Konstanz;Baden-Württemberg
158406;Allersberg;90584;Landkreis Roth;Bayern
30015;Allershausen;85391;Landkreis Freising;Bayern
2801344;Alleshausen;88422;Landkreis Biberach;Baden-Württemberg
933491;Alling;82239;Landkreis Fürstenfeldbruck;Bayern
445854;Allmannshofen;86695;Landkreis Augsburg;Bayern
2801315;Allmannsweiler;88348;Landkreis Biberach;Baden-Württemberg
2803631;Allmendingen;89604;Alb-Donau-Kreis;Baden-Württemberg
400939;Allmersbach im Tal;71573;Rems-Murr-Kreis;Baden-Württemberg
2397385;Allstedt;06542;Landkreis Mansfeld-Südharz;Sachsen-Anhalt
1567454;Almdorf;25821;Kreis Nordfriesland;Schleswig-Holstein
418894;Almersbach;57610;Landkreis Altenkirchen;Rheinland-Pfalz
58618;Alpen;46519;Kreis Wesel;Nordrhein-Westfalen
453150;Alpenrod;57642;Westerwaldkreis;Rheinland-Pfalz
453150;Alpenrod;57647;Westerwaldkreis;Rheinland-Pfalz
2411295;Alperstedt;99195;Landkreis Sömmerda;Thüringen
935834;Alpirsbach;72275;Landkreis Freudenstadt;Baden-Württemberg
532368;Alsbach;56237;Westerwaldkreis;Rheinland-Pfalz
452415;Alsbach-Hähnlein;64665;Landkreis Darmstadt-Dieburg;Hessen
157993;Alsdorf;52477;Städteregion Aachen;Nordrhein-Westfalen
422316;Alsdorf;57518;Landkreis Altenkirchen;Rheinland-Pfalz
1163504;Alsdorf;54668;Eifelkreis Bitburg-Prüm;Rheinland-Pfalz
1253873;Alsenz;67821;Donnersbergkreis;Rheinland-Pfalz
418327;Alsfeld;36304;Vogelsbergkreis;Hessen
1248686;Alsheim;67577;Landkreis Alzey-Worms;Rheinland-Pfalz
1332300;Alsleben;06425;Salzlandkreis;Sachsen-Anhalt
2792885;Altbach;73776;Landkreis Esslingen;Baden-Württemberg
1157542;Alt Bennebek;24848;Kreis Schleswig-Flensburg;Schleswig-Holstein
394333;Alt Bukow;18233;Landkreis Rostock;Mecklenburg-Vorpommern
1322902;Altdöbern;03229;Landkreis Oberspreewald-Lausitz;Brandenburg
190875;Altdorf;84032;Landkreis Landshut;Bayern
722061;Altdorf;71155;Landkreis Böblingen;Baden-Württemberg
902680;Altdorf;72655;Landkreis Esslingen;Baden-Württemberg
1252492;Altdorf;67482;Landkreis Südliche Weinstraße;Rheinland-Pfalz
966164;Altdorf bei Nürnberg;90518;Landkreis Nürnberger Land;Bayern
548573;Alt Duvenstedt;24782;Kreis Rendsburg-Eckernförde;Schleswig-Holstein
548573;Alt Duvenstedt;24791;Kreis Rendsburg-Eckernförde;Schleswig-Holstein
548573;Alt Duvenstedt;24811;Kreis Rendsburg-Eckernförde;Schleswig-Holstein
1438081;Altefähr;18573;Landkreis Vorpommern-Rügen;Mecklenburg-Vorpommern
964628;Alteglofsheim;93087;Landkreis Regensburg;Bayern
168547;Altena;58762;Märkischer Kreis;Nordrhein-Westfalen
1021826;Altenahr;53505;Landkreis Ahrweiler;Rheinland-Pfalz
1244034;Altenbamberg;55585;Landkreis Bad Kreuznach;Rheinland-Pfalz
148072;Altenbeken;33184;Kreis Paderborn;Nordrhein-Westfalen
455484;Altenberg;01773;Landkreis Sächsische Schweiz-Osterzgebirge;Sachsen
455484;Altenberg;01778;Landkreis Sächsische Schweiz-Osterzgebirge;Sachsen
2458400;Altenberga;07768;Saale-Holzland-Kreis;Thüringen
155779;Altenberge;48341;Kreis Steinfurt;Nordrhein-Westfalen
1273353;Altenbeuthen;07338;Landkreis Saalfeld-Rudolstadt;Thüringen
394512;Altenbuch;97901;Landkreis Miltenberg;Bayern
1263721;Altenburg;04600;Landkreis Altenburger Land;Thüringen
537133;Altendiez;65624;Rhein-Lahn-Kreis;Rheinland-Pfalz
962080;Altendorf;92540;Landkreis Schwandorf;Bayern
1077529;Altendorf;96146;Landkreis Bamberg;Bayern
1263905;Altenfeld;98701;Ilm-Kreis;Thüringen
1246622;Altenglan;66885;Landkreis Kusel;Rheinland-Pfalz
2876347;Altengottern;99991;Unstrut-Hainich-Kreis;Thüringen
1427896;Altenhagen;17091;Landkreis Mecklenburgische Seenplatte;Mecklenburg-Vorpommern
1286652;Altenhausen;39343;Landkreis Börde;Sachsen-Anhalt
554562;Altenhof;24340;Kreis Rendsburg-Eckernförde;Schleswig-Holstein
1424152;Altenhof;17209;Landkreis Mecklenburgische Seenplatte;Mecklenburg-Vorpommern
554747;Altenholz;24161;Kreis Rendsburg-Eckernförde;Schleswig-Holstein
1252363;Altenkirchen;66903;Landkreis Kusel;Rheinland-Pfalz
1437950;Altenkirchen;18556;Landkreis Vorpommern-Rügen;Mecklenburg-Vorpommern
418895;Altenkirchen (Westerwald);57610;Landkreis Altenkirchen;Rheinland-Pfalz
382409;Altenkrempe;23730;Kreis Ostholstein;Schleswig-Holstein
1026858;Altenkunstadt;96264;Landkreis Lichtenfels;Bayern
941639;Altenmarkt an der Alz;83352;Landkreis Traunstein;Bayern
1460228;Altenmedingen;29575;Landkreis Uelzen;Niedersachsen
447188;Altenmoor;25335;Kreis Steinburg;Schleswig-Holstein
452561;Altenmünster;86450;Landkreis Augsburg;Bayern
374185;Altenpleen;18445;Landkreis Vorpommern-Rügen;Mecklenburg-Vorpommern
2796467;Altenriet;72657;Landkreis Esslingen;Baden-Württemberg
450108;Altenstadt;63674;Wetteraukreis;Hessen
936742;Altenstadt;86972;Landkreis Weilheim-Schongau;Bayern
941073;Altenstadt;89281;Landkreis Neu-Ulm;Bayern
1059433;Altenstadt an der Waldnaab;92665;Landkreis Neustadt an der Waldnaab;Bayern
1174479;Altensteig;72213;Landkreis Calw;Baden-Württemberg
964624;Altenthann;93177;Landkreis Regensburg;Bayern
1427888;Altentreptow;17087;Landkreis Mecklenburgische Seenplatte;Mecklenburg-Vorpommern
1204726;Alterkülz;56288;Rhein-Hunsrück-Kreis;Rheinland-Pfalz
2829503;Altersbach;98587;Landkreis Schmalkalden-Meiningen;Thüringen
180669;Altertheim;97237;Landkreis Würzburg;Bayern
191496;Altfraunhofen;84169;Landkreis Landshut;Bayern
933521;Althegnenberg;82278;Landkreis Fürstenfeldbruck;Bayern
2802280;Altheim;88499;Landkreis Biberach;Baden-Württemberg
2803632;Altheim;89605;Alb-Donau-Kreis;Baden-Württemberg
2790973;Altheim (Alb);89174;Alb-Donau-Kreis;Baden-Württemberg
933498;Althengstett;75382;Landkreis Calw;Baden-Württemberg
1250687;Althornbach;66484;Landkreis Südwestpfalz;Rheinland-Pfalz
400938;Althütte;71566;Rems-Murr-Kreis;Baden-Württemberg
1318343;Althüttendorf;16247;Landkreis Barnim;Brandenburg
2020631;Altkalen;17179;Landkreis Rostock;Mecklenburg-Vorpommern
2778468;Altkirchen;04626;Landkreis Altenburger Land;Thüringen
1451540;Alt Krenzlin;19288;Landkreis Ludwigslust-Parchim;Mecklenburg-Vorpommern
1332946;Altlandsberg;15345;Landkreis Märkisch-Oderland;Brandenburg
1269719;Altlay;56858;Landkreis Cochem-Zell;Rheinland-Pfalz
1249748;Altleiningen;67316;Landkreis Bad Dürkheim;Rheinland-Pfalz
1249748;Altleiningen;67317;Landkreis Bad Dürkheim;Rheinland-Pfalz
453415;Altlußheim;68804;Rhein-Neckar-Kreis;Baden-Württemberg
943548;Altmannstein;93336;Landkreis Eichstätt;Bayern
1284744;Altmärkische Höhe;39606;Landkreis Stendal;Sachsen-Anhalt
1284744;Altmärkische Höhe;39615;Landkreis Stendal;Sachsen-Anhalt
1284749;Altmärkische Wische;39615;Landkreis Stendal;Sachsen-Anhalt
1444893;Alt Meteln;19069;Landkreis Nordwestmecklenburg;Mecklenburg-Vorpommern
414485;Altmittweida;09648;Landkreis Mittelsachsen;Sachsen
1467346;Alt Mölln;23881;Kreis Herzogtum Lauenburg;Schleswig-Holstein
167317;Altomünster;85250;Landkreis Dachau;Bayern
942029;Altötting;84503;Landkreis Altötting;Bayern
1259135;Altrich;54518;Landkreis Bernkastel-Wittlich;Rheinland-Pfalz
418402;Altrip;67122;Rhein-Pfalz-Kreis;Rheinland-Pfalz
1171858;Altscheid;54636;Eifelkreis Bitburg-Prüm;Rheinland-Pfalz
1424389;Alt Schwerin;17214;Landkreis Mecklenburgische Seenplatte;Mecklenburg-Vorpommern
2808120;Altshausen;88361;Landkreis Ravensburg;Baden-Württemberg
1269731;Altstrimmig;56858;Landkreis Cochem-Zell;Rheinland-Pfalz
1996945;Alt Sührkow;17166;Landkreis Rostock;Mecklenburg-Vorpommern
1427539;Alt Tellin;17129;Landkreis Vorpommern-Greifswald;Mecklenburg-Vorpommern
1332921;Alt Tucheband;15328;Landkreis Märkisch-Oderland;Brandenburg
957781;Altusried;87452;Landkreis Oberallgäu;Bayern
1408065;Altwarp;17375;Landkreis Vorpommern-Greifswald;Mecklenburg-Vorpommern
1241628;Altweidelbach;55469;Rhein-Hunsrück-Kreis;Rheinland-Pfalz
1410793;Altwigshagen;17379;Landkreis Vorpommern-Greifswald;Mecklenburg-Vorpommern
1451533;Alt Zachun;19230;Landkreis Ludwigslust-Parchim;Mecklenburg-Vorpommern
1388877;Alt Zauche-Wußwerk;15913;Landkreis Dahme-Spreewald;Brandenburg
442764;Alveslohe;25486;Kreis Segeberg;Schleswig-Holstein
534148;Alzenau;63755;Landkreis Aschaffenburg;Bayern
902672;Alzey;55232;Landkreis Alzey-Worms;Rheinland-Pfalz
62772;Amberg;92224;;Bayern
958187;Amberg;86854;Landkreis Unterallgäu;Bayern
1846190;Amelinghausen;21385;Landkreis Lüneburg;Niedersachsen
2156163;Amerang;83123;Landkreis Rosenheim;Bayern
962454;Amerdingen;86735;Landkreis Donau-Ries;Bayern
1286625;Am Großen Bruch;39393;Landkreis Börde;Sachsen-Anhalt
1171847;Ammeldingen an der Our;54675;Eifelkreis Bitburg-Prüm;Rheinland-Pfalz
1171880;Ammeldingen bei Neuerburg;54673;Eifelkreis Bitburg-Prüm;Rheinland-Pfalz
176780;Am Mellensee;15838;Landkreis Teltow-Fläming;Brandenburg
2778907;Ammerbuch;72119;Landkreis Tübingen;Baden-Württemberg
1016395;Ammerndorf;90614;Landkreis Fürth;Bayern
312038;Ammersbek;22949;Kreis Stormarn;Schleswig-Holstein
1028553;Ammerthal;92260;Landkreis Amberg-Sulzbach;Bayern
2799906;Am Ohmberg;37345;Landkreis Eichsfeld;Thüringen
225501;Amöneburg;35287;Landkreis Marburg-Biedenkopf;Hessen
393471;Amorbach;63916;Landkreis Miltenberg;Bayern
941001;Ampfing;84539;Landkreis Mühldorf am Inn;Bayern
394330;Am Salzhaff;18233;Landkreis Rostock;Mecklenburg-Vorpommern
2770608;Amstetten;73340;Alb-Donau-Kreis;Baden-Württemberg
1851834;Amt Neuhaus;19273;Landkreis Lüneburg;Niedersachsen
422409;Amtsberg;09439;Erzgebirgskreis;Sachsen
2666038;Amt Wachsenburg;99334;Ilm-Kreis;Thüringen
2808296;Amtzell;88279;Landkreis Ravensburg;Baden-Württemberg
932296;Andechs;82346;Landkreis Starnberg;Bayern
1079012;Anderlingen;27446;Landkreis Rotenburg (Wümme);Niedersachsen
541666;Andernach;56626;Landkreis Mayen-Koblenz;Rheinland-Pfalz
2402486;An der Poststraße;06647;Burgenlandkreis;Sachsen-Anhalt
2006684;Andervenne;49832;Landkreis Emsland;Niedersachsen
2411239;Andisleben;99189;Landkreis Sömmerda;Thüringen
453373;Angelbachtal;74918;Rhein-Neckar-Kreis;Baden-Württemberg
225487;Angelburg;35719;Landkreis Marburg-Biedenkopf;Hessen
396220;Angelroda;99338;Ilm-Kreis;Thüringen
941791;Anger;83454;Landkreis Berchtesgadener Land;Bayern
1334084;Angermünde;16278;Landkreis Uckermark;Brandenburg
1286657;Angern;39326;Landkreis Börde;Sachsen-Anhalt
1286657;Angern;39517;Landkreis Börde;Sachsen-Anhalt
444701;Anhausen;56584;Landkreis Neuwied;Rheinland-Pfalz
1424417;Ankershagen;17219;Landkreis Mecklenburgische Seenplatte;Mecklenburg-Vorpommern
1432550;Anklam;17389;Landkreis Vorpommern-Greifswald;Mecklenburg-Vorpommern
1817198;Ankum;49577;Landkreis Osnabrück;Niedersachsen
536625;Annaberg-Buchholz;09456;Erzgebirgskreis;Sachsen
2283775;Annaburg;06925;Landkreis Wittenberg;Sachsen-Anhalt
1252764;Annweiler am Trifels;76855;Landkreis Südliche Weinstraße;Rheinland-Pfalz
153400;Anröchte;59609;Kreis Soest;Nordrhein-Westfalen
2896623;Anrode;99976;Unstrut-Hainich-Kreis;Thüringen
62654;Ansbach;91522;;Bayern
548034;Anschau;56729;Landkreis Mayen-Koblenz;Rheinland-Pfalz
936943;Antdorf;82387;Landkreis Weilheim-Schongau;Bayern
418326;Antrifttal;36326;Vogelsbergkreis;Hessen
1060412;Antweiler;53533;Landkreis Ahrweiler;Rheinland-Pfalz
929824;Anzing;85646;Landkreis Ebersberg;Bayern
1176599;Apelern;31552;Landkreis Schaumburg;Niedersachsen
1187347;Apen;26689;Landkreis Ammerland;Niedersachsen
1285614;Apenburg-Winterfeld;38486;Altmarkkreis Salzwedel;Sachsen-Anhalt
446434;Apensen;21641;Landkreis Stade;Niedersachsen
932427;Apfeldorf;86974;Landkreis Landsberg am Lech;Bayern
957119;Apfeltrach;87742;Landkreis Unterallgäu;Bayern
2856439;Apolda;99510;Landkreis Weimarer Land;Thüringen
278581;Appel;21279;Landkreis Harburg;Niedersachsen
443484;Appen;25482;Kreis Pinneberg;Schleswig-Holstein
1245804;Appenheim;55437;Landkreis Mainz-Bingen;Rheinland-Pfalz
452982;Appenweier;77767;Ortenaukreis;Baden-Württemberg
1075157;Arbach;56769;Landkreis Vulkaneifel;Rheinland-Pfalz
534392;Arberg;91722;Landkreis Ansbach;Bayern
1060418;Aremberg;53533;Landkreis Ahrweiler;Rheinland-Pfalz
1285588;Arendsee (Altmark);39619;Altmarkkreis Salzwedel;Sachsen-Anhalt
1259126;Arenrath;54518;Landkreis Bernkastel-Wittlich;Rheinland-Pfalz
2395853;Arenshausen;37318;Landkreis Eichsfeld;Thüringen
943712;Aresing;86561;Landkreis Neuburg-Schrobenhausen;Bayern
548036;Arft;56729;Landkreis Mayen-Koblenz;Rheinland-Pfalz
2806737;Argenbühl;88260;Landkreis Ravensburg;Baden-Württemberg
1244212;Argenschwang;55595;Landkreis Bad Kreuznach;Rheinland-Pfalz
1241484;Argenthal;55496;Rhein-Hunsrück-Kreis;Rheinland-Pfalz
2011073;Arholzen;37627;Landkreis Holzminden;Niedersachsen
423046;Arkebek;25767;Kreis Dithmarschen;Schleswig-Holstein
1405506;Arlewatt;25860;Kreis Nordfriesland;Schleswig-Holstein
1248409;Armsheim;55288;Landkreis Alzey-Worms;Rheinland-Pfalz
423191;Armstedt;24616;Kreis Segeberg;Schleswig-Holstein
1527157;Armstorf;21769;Landkreis Cuxhaven;Niedersachsen
959155;Arnbruck;93471;Landkreis Regen;Bayern
1284740;Arneburg;39596;Landkreis Stendal;Sachsen-Anhalt
1145353;Arnis;24399;Kreis Schleswig-Flensburg;Schleswig-Holstein
157396;Arnsberg;59755;Hochsauerlandkreis;Nordrhein-Westfalen
157396;Arnsberg;59757;Hochsauerlandkreis;Nordrhein-Westfalen
157396;Arnsberg;59759;Hochsauerlandkreis;Nordrhein-Westfalen
157396;Arnsberg;59821;Hochsauerlandkreis;Nordrhein-Westfalen
157396;Arnsberg;59823;Hochsauerlandkreis;Nordrhein-Westfalen
959922;Arnschwang;93473;Landkreis Cham;Bayern
1307625;Arnsdorf;01477;Landkreis Bautzen;Sachsen
534472;Arnshöfen;56244;Westerwaldkreis;Rheinland-Pfalz
393582;Arnstadt;99310;Ilm-Kreis;Thüringen
336476;Arnstein;97450;Landkreis Main-Spessart;Bayern
2408603;Arnstein;06456;Landkreis Mansfeld-Südharz;Sachsen-Anhalt
957058;Arnstorf;94424;Landkreis Rottal-Inn;Bayern
553601;Arpsdorf;24634;Kreis Rendsburg-Eckernförde;Schleswig-Holstein
959919;Arrach;93474;Landkreis Cham;Bayern
2387266;Artern/Unstrut;06556;Kyffhäuserkreis;Thüringen
1388559;Artlenburg;21380;Landkreis Lüneburg;Niedersachsen
535686;Arzbach;56337;Rhein-Lahn-Kreis;Rheinland-Pfalz
534446;Arzberg;04886;Landkreis Nordsachsen;Sachsen
1022878;Arzberg;95659;Landkreis Wunsiedel im Fichtelgebirge;Bayern
1113734;Arzfeld;54687;Eifelkreis Bitburg-Prüm;Rheinland-Pfalz
443469;Asbach;53567;Landkreis Neuwied;Rheinland-Pfalz
1245096;Asbach;55758;Landkreis Birkenfeld;Rheinland-Pfalz
562971;Asbach-Bäumenheim;86663;Landkreis Donau-Ries;Bayern
2813820;Asbach-Sickenberg;37318;Landkreis Eichsfeld;Thüringen
959656;Ascha;94347;Landkreis Straubing-Bogen;Bayern
